,Total_job,Posted_date,Country_name,Job_type,Website,Total
98,"
                    Pagina 1 din 1 de locuri de muncă",2/26/21,Romania,TEFL,Indeed,1
99,"
                    Page 1 of 1 jobs",2/27/21,Singapore,TEFL,Indeed,1
100,"
                    Page 1 of 1 jobs",2/27/21,United Kingdom,TEFL,Indeed,1
101,"
                    Page 1 de 1 emplois",2/27/21,Morocco,TEFL,Indeed,1
102,"
                    Página 1 de 1 empleos",2/27/21,Peru,TEFL,Indeed,1
103,"
                    1페이지 결과 39건",2/27/21,Korea,TEFL,Indeed,1
104,"
                    1. stránka z 10 výsledků",2/27/21,Czech Republic,TEFL,Indeed,1
105,"
                    Pagina 1 din 1 de locuri de muncă",2/27/21,Romania,TEFL,Indeed,1
106,"
                    Page 1 of 2 jobs",2/26/21,Hong Kong,TEFL,Indeed,2
107,"
                    Página 1 de 2 empleos",2/26/21,Ecuador,TEFL,Indeed,2
108,"
                    Página 1 de 2 empleos",2/27/21,Chile,TEFL,Indeed,2
109,"
                    Pagina 1 van 3 vacatures",2/25/21,Belgium,TEFL,Indeed,3
110,"
                    Page 1 of 3 jobs",2/26/21,United Kingdom,TEFL,Indeed,3
111,"
                    Página 1 de 3 empleos",2/27/21,Spain,TEFL,Indeed,3
112,"
                    Page 1 of 4 jobs",2/25/21,United Kingdom,TEFL,Indeed,4
113,"
                    Página 1 de 4 ofertas",2/27/21,Portugal,TEFL,Indeed,4
114,"
                    Página 1 de 6 empleos",2/26/21,Chile,TEFL,Indeed,6
115,"
                    Página 1 de 6 empleos",2/26/21,Spain,TEFL,Indeed,6
116,"
                    Página 1 de 6 empleos",2/27/21,Mexico,TEFL,Indeed,6
117,"
                    Página 1 de 8 empleos",2/25/21,Chile,TEFL,Indeed,8
118,"
                    9个工作，第1页",2/27/21,China,TEFL,Indeed,9
119,"
                    第 1 頁、共 9 個職缺",2/27/21,Taiwan,TEFL,Indeed,9
120,"
                    Page 1 of 15 jobs",2/26/21,Canada,TEFL,Indeed,15
121,"
                    15个工作，第1页",2/26/21,China,TEFL,Indeed,15
122,"
                    Página 1 de 16 vagas",2/27/21,Brazil,TEFL,Indeed,16
123,"
                    Page 1 of 20 jobs",2/25/21,Canada,TEFL,Indeed,20
124,"
                    第 1 頁、共 20 個職缺",2/26/21,Taiwan,TEFL,Indeed,20
125,"
                    Página 1 de 40 vagas",2/25/21,Brazil,TEFL,Indeed,40
126,"
                    Page 1 of 33 jobs",2/25/21,New Zealand,Database,Indeed,33
127,"
                    Halaman 1 dari 54 lowongan",2/25/21,Indonesia,Database,Indeed,54
128,"
                    Page 1 of 64 jobs",2/25/21,Pakistan,Database,Indeed,64
129,"
                    Página 1 de 74 empleos",2/25/21,Argentina,Database,Indeed,74
130,"
                    Página 1 de 79 empleos",2/25/21,Chile,Database,Indeed,79
131,"
                    Page 1 of 82 jobs",2/25/21,Ireland,Database,Indeed,82
132,"
                    Page 1 of 108 jobs",2/25/21,Hong Kong,Database,Indeed,108
133,"
                    Page 1 of 109 jobs",2/25/21,Malaysia,Database,Indeed,109
134,"
                    Page 1 of 159 jobs",2/25/21,Philippines,Database,Indeed,159
135,"
                    Pagina 1 van 187 vacatures",2/25/21,Belgium,Database,Indeed,187
136,"
                    Page 1 of 207 jobs",2/25/21,South Africa,Database,Indeed,207
137,"
                    Page 1 of 227 jobs",2/25/21,Singapore,Database,Indeed,227
138,"
                    Seite 1 von 278 Jobs",2/25/21,Germany,Database,Indeed,278
139,"
                    Page 1 of 334 jobs",2/25/21,Australia,Database,Indeed,334
140,"
                    Página 1 de 597 vagas",2/25/21,Brazil,Database,Indeed,597
141,"
                    Page 1 of 868 jobs",2/25/21,Canada,Database,Indeed,868
142,"
                    Page 1 of 38 jobs",2/26/21,New Zealand,Database,Indeed,38
143,"
                    Page 1 of 56 jobs",2/26/21,Nigeria,Database,Indeed,56
144,"
                    Page 1 of 69 jobs",2/26/21,Ireland,Database,Indeed,69
145,"
                    Page 1 of 85 jobs",2/26/21,Pakistan,Database,Indeed,85
146,"
                    Page 1 of 114 jobs",2/26/21,Hong Kong,Database,Indeed,114
147,"
                    Page 1 of 125 jobs",2/26/21,Malaysia,Database,Indeed,125
148,"
                    Page 1 of 133 jobs",2/26/21,Philippines,Database,Indeed,133
149,"
                    Page 1 of 234 jobs",2/26/21,Singapore,Database,Indeed,234
150,"
                    Page 1 of 244 jobs",2/26/21,South Africa,Database,Indeed,244
151,"
                    Page 1 of 343 jobs",2/26/21,Australia,Database,Indeed,343
152,"
                    Page 1 of 770 jobs",2/26/21,Canada,Database,Indeed,770
153,"
                    Página 1 de 345 vagas",2/26/21,Brazil,Database,Indeed,345
154,"
                    Página 1 de 53 empleos",2/26/21,Argentina,Database,Indeed,53
155,"
                    Página 1 de 66 empleos",2/26/21,Chile,Database,Indeed,66
156,"
                    Halaman 1 dari 60 lowongan",2/26/21,Indonesia,Database,Indeed,60
157,"
                    113 munka 1 oldala",2/26/21,Hungary,Database,Indeed,113
158,"
                    64个工作，第1页",2/26/21,China,Database,Indeed,64
159,"
                    Página 1 de 39 empleos",2/26/21,Peru,Database,Indeed,39
160,"
                    Página 1 de 131 empleos",2/26/21,Spain,Database,Indeed,131
161,"
                    Página 1 de 278 empleos",2/26/21,Mexico,Database,Indeed,278
162,"
                    求人検索結果 466 件中 1 ページ目",2/26/21,Japan,Database,Indeed,466
163,"
                    Page 1 of 22 jobs",2/27/21,New Zealand,Database,Indeed,22
164,"
                    Page 1 of 45 jobs",2/27/21,Ireland,Database,Indeed,45
165,"
                    Page 1 of 55 jobs",2/27/21,Hong Kong,Database,Indeed,55
166,"
                    Page 1 of 55 jobs",2/27/21,Pakistan,Database,Indeed,55
167,"
                    Page 1 of 71 jobs",2/27/21,Malaysia,Database,Indeed,71
168,"
                    Page 1 of 86 jobs",2/27/21,Philippines,Database,Indeed,86
169,"
                    Page 1 of 154 jobs",2/27/21,Singapore,Database,Indeed,154
170,"
                    Page 1 of 154 jobs",2/27/21,South Africa,Database,Indeed,154
171,"
                    Page 1 of 163 jobs",2/27/21,Australia,Database,Indeed,163
172,"
                    Page 1 of 511 jobs",2/27/21,Canada,Database,Indeed,511
173,"
                    Page 1 of 647 jobs",2/27/21,United Kingdom,Database,Indeed,647
174,"
                    Page 1 de 10 emplois",2/27/21,Luxembourg,Database,Indeed,10
175,"
                    Seite 1 von 327 Jobs",2/27/21,Germany,Database,Indeed,327
176,"
                    Página 1 de 227 vagas",2/27/21,Brazil,Database,Indeed,227
177,"
                    Página 1 de 30 empleos",2/27/21,Argentina,Database,Indeed,30
178,"
                    Página 1 de 54 empleos",2/27/21,Chile,Database,Indeed,54
179,"
                    Pagina 1 van 43 vacatures",2/27/21,Belgium,Database,Indeed,43
180,"
                    Halaman 1 dari 41 lowongan",2/27/21,Indonesia,Database,Indeed,41
181,"
                    Side 1 af 18 jobs",2/27/21,Denmark,Database,Indeed,18
182,"
                    Página 1 de 37 empleos",2/27/21,Peru,Database,Indeed,37
183,"
                    Página 1 de 42 empleos",2/27/21,Columbia,Database,Indeed,42
184,"
                    หน้า 1 ของ 45 งาน",2/27/21,Thailand,Database,Indeed,45
185,"
                    83 munka 1 oldala",2/27/21,Hungary,Database,Indeed,83
186,"
                    Página 1 de 84 empleos",2/27/21,Spain,Database,Indeed,84
187,"
                    求人検索結果 217 件中 1 ページ目",2/27/21,Japan,Database,Indeed,217
188,"
                    Página 1 de 247 empleos",2/27/21,Mexico,Database,Indeed,247
189,0,2/26/21,India,Database,Indeed,0
190,0,2/26/21,Austria,Database,Indeed,0
191,0,2/26/21,Germany,Database,Indeed,0
192,0,2/26/21,Belgium,Database,Indeed,0
193,0,2/26/21,Portugal,Database,Indeed,0
194,0,2/26/21,Czech Republic,Database,Indeed,0
195,0,2/26/21,Finland,Database,Indeed,0
196,0,2/26/21,Italy,Database,Indeed,0
197,0,2/26/21,Morocco,Database,Indeed,0
198,0,2/26/21,Norway,Database,Indeed,0
199,0,2/26/21,Romania,Database,Indeed,0
200,0,2/26/21,Sweden,Database,Indeed,0
201,0,2/27/21,Kuwait,Database,Indeed,0
202,0,2/27/21,Czech Republic,Database,Indeed,0
203,0,2/27/21,France,Database,Indeed,0
204,0,2/27/21,Italy,Database,Indeed,0
205,0,2/27/21,Morocco,Database,Indeed,0
206,0,2/27/21,Norway,Database,Indeed,0
207,0,2/27/21,Russia,Database,Indeed,0
208,0,2/27/21,Romania,Database,Indeed,0
209,0,2/27/21,Sweden,Database,Indeed,0
210,"
                    Page 1 of 1,125 jobs",2/25/21,United Kingdom,Database,Indeed,1
211,"
                    Page 1 of 1,985 jobs",2/25/21,India,Database,Indeed,1
212,"
                    Page 1 of 1,131 jobs",2/26/21,United Kingdom,Database,Indeed,1
213,"
                    1페이지 결과 1건",2/26/21,Korea,Database,Indeed,1
214,"
                    第 1 頁、共 1 個職缺",2/26/21,Taiwan,Database,Indeed,1
215,"
                    Страница 1 из 1 вакансий",2/26/21,Russia,Database,Indeed,1
216,"
                    Page 1 of 1,124 jobs",2/27/21,India,Database,Indeed,1
217,"
                    Página 1 de 1 ofertas",2/27/21,Portugal,Database,Indeed,1
218,"
                    1페이지 결과 1건",2/27/21,Korea,Database,Indeed,1
219,"
                    Sivu 1 / 1 työpaikkaa",2/27/21,Finland,Database,Indeed,1
220,"
                    第 1 頁、共 1 個職缺",2/27/21,Taiwan,Database,Indeed,1
221,"
                    Page 1 de 2 emplois",2/26/21,France,Database,Indeed,2
222,"
                    Page 1 of 3 jobs",2/26/21,Kuwait,Database,Indeed,3
223,"
                    Página 1 de 3 empleos",2/27/21,Venezuela,Database,Indeed,3
224,"
                    صفحة 1 من 3 وظائف",2/27/21,Egypt,Database,Indeed,3
225,"
                    Página 1 de 4 empleos",2/26/21,Costa Rica,Database,Indeed,4
226,"
                    صفحة 1 من 4 وظائف",2/26/21,Egypt,Database,Indeed,4
227,"
                    Page 1 of 5 jobs",2/25/21,Kuwait,Database,Indeed,5
228,"
                    Página 1 de 5 empleos",2/26/21,Uruguay,Database,Indeed,5
229,"
                    Página 1 de 5 empleos",2/26/21,Venezuela,Database,Indeed,5
230,"
                    صفحة 1 من 5 وظائف",2/27/21,Saudi Arabia,Database,Indeed,5
231,"
                    Página 1 de 5 empleos",2/27/21,Costa Rica,Database,Indeed,5
232,"
                    Página 1 de 5 empleos",2/27/21,Uruguay,Database,Indeed,5
233,"
                    Página 1 de 7 empleos",2/27/21,Ecuador,Database,Indeed,7
234,"
                    Σελίδα 1 από 8 θέσεις εργασίας",2/27/21,Greece,Database,Indeed,8
235,"
                    Seite 1 von 9 Jobs",2/27/21,Switzerland,Database,Indeed,9
236,"
                    Seite 1 von 12 Jobs",2/26/21,Switzerland,Database,Indeed,12
237,"
                    Σελίδα 1 από 12 θέσεις εργασίας",2/26/21,Greece,Database,Indeed,12
238,"
                    Página 1 de 13 empleos",2/26/21,Ecuador,Database,Indeed,13
239,"
                    Page 1 de 14 emplois",2/26/21,Luxembourg,Database,Indeed,14
240,"
                    Seite 1 von 15 Jobs",2/27/21,Austria,Database,Indeed,15
241,"
                    Seite 1 von 16 Jobs",2/25/21,Austria,Database,Indeed,16
242,"
                    Página 1 de 17 ofertas",2/25/21,Portugal,Database,Indeed,17
243,"
                    صفحة 1 من 19 وظائف",2/25/21,Saudi Arabia,Database,Indeed,19
244,"
                    Page 1 de 20 emplois",2/25/21,Luxembourg,Database,Indeed,20
245,"
                    Side 1 af 20 jobs",2/26/21,Denmark,Database,Indeed,20
246,"
                    صفحة 1 من 23 وظائف",2/26/21,Saudi Arabia,Database,Indeed,23
247,"
                    Page 1 of 26 jobs",2/25/21,Nigeria,Database,Indeed,26
248,"
                    Página 1 de 35 empleos",2/26/21,Columbia,Database,Indeed,35
249,"
                    Page 1 of 35 jobs",2/27/21,Nigeria,Database,Indeed,35
250,"
                    35个工作，第1页",2/27/21,China,Database,Indeed,35
251,"
                    หน้า 1 ของ 40 งาน",2/26/21,Thailand,Database,Indeed,40
252,"
                    Page 1 of 29 jobs",2/25/21,Nigeria,Accounting,Indeed,29
253,"
                    Page 1 de 32 emplois",2/25/21,Luxembourg,Accounting,Indeed,32
254,"
                    Page 1 of 33 jobs",2/25/21,Pakistan,Accounting,Indeed,33
255,"
                    Page 1 of 47 jobs",2/25/21,New Zealand,Accounting,Indeed,47
256,"
                    Página 1 de 53 empleos",2/25/21,Argentina,Accounting,Indeed,53
257,"
                    Página 1 de 68 empleos",2/25/21,Chile,Accounting,Indeed,68
258,"
                    Seite 1 von 82 Jobs",2/25/21,Austria,Accounting,Indeed,82
259,"
                    Page 1 of 116 jobs",2/25/21,Ireland,Accounting,Indeed,116
260,"
                    Halaman 1 dari 119 lowongan",2/25/21,Indonesia,Accounting,Indeed,119
261,"
                    Page 1 of 164 jobs",2/25/21,Malaysia,Accounting,Indeed,164
262,"
                    Page 1 of 190 jobs",2/25/21,Hong Kong,Accounting,Indeed,190
263,"
                    Page 1 of 220 jobs",2/25/21,South Africa,Accounting,Indeed,220
264,"
                    Page 1 of 236 jobs",2/25/21,Philippines,Accounting,Indeed,236
265,"
                    Page 1 of 250 jobs",2/25/21,Australia,Accounting,Indeed,250
266,"
                    Page 1 of 266 jobs",2/25/21,Singapore,Accounting,Indeed,266
267,"
                    Pagina 1 van 301 vacatures",2/25/21,Belgium,Accounting,Indeed,301
268,"
                    Page 1 of 598 jobs",2/25/21,India,Accounting,Indeed,598
269,"
                    Page 1 of 797 jobs",2/25/21,Canada,Accounting,Indeed,797
270,"
                    Página 1 de 870 vagas",2/25/21,Brazil,Accounting,Indeed,870
271,"
                    Page 1 of 965 jobs",2/25/21,United Kingdom,Accounting,Indeed,965
272,"
                    Page 1 of 27 jobs",2/26/21,Pakistan,Accounting,Indeed,27
273,"
                    Page 1 of 36 jobs",2/26/21,Nigeria,Accounting,Indeed,36
274,"
                    Page 1 of 97 jobs",2/26/21,Ireland,Accounting,Indeed,97
275,"
                    Page 1 of 128 jobs",2/26/21,New Zealand,Accounting,Indeed,128
276,"
                    Page 1 of 155 jobs",2/26/21,Malaysia,Accounting,Indeed,155
277,"
                    Page 1 of 189 jobs",2/26/21,Philippines,Accounting,Indeed,189
278,"
                    Page 1 of 219 jobs",2/26/21,Hong Kong,Accounting,Indeed,219
279,"
                    Page 1 of 230 jobs",2/26/21,Australia,Accounting,Indeed,230
280,"
                    Page 1 of 250 jobs",2/26/21,South Africa,Accounting,Indeed,250
281,"
                    Page 1 of 286 jobs",2/26/21,Singapore,Accounting,Indeed,286
282,"
                    Page 1 of 674 jobs",2/26/21,Canada,Accounting,Indeed,674
283,"
                    Page 1 of 962 jobs",2/26/21,United Kingdom,Accounting,Indeed,962
284,"
                    Page 1 de 32 emplois",2/26/21,Luxembourg,Accounting,Indeed,32
285,"
                    Página 1 de 638 vagas",2/26/21,Brazil,Accounting,Indeed,638
286,"
                    Página 1 de 38 empleos",2/26/21,Argentina,Accounting,Indeed,38
287,"
                    Página 1 de 48 empleos",2/26/21,Chile,Accounting,Indeed,48
288,"
                    Halaman 1 dari 76 lowongan",2/26/21,Indonesia,Accounting,Indeed,76
289,"
                    صفحة 1 من 21 وظائف",2/26/21,Saudi Arabia,Accounting,Indeed,21
290,"
                    Seite 1 von 57 Jobs",2/26/21,Switzerland,Accounting,Indeed,57
291,"
                    Page 1 de 616 emplois",2/26/21,France,Accounting,Indeed,616
292,"
                    131个工作，第1页",2/26/21,China,Accounting,Indeed,131
293,"
                    Pagina 1 di 100 offerte",2/26/21,Italy,Accounting,Indeed,100
294,"
                    Página 1 de 47 empleos",2/26/21,Columbia,Accounting,Indeed,47
295,"
                    Página 1 de 59 empleos",2/26/21,Spain,Accounting,Indeed,59
296,"
                    Página 1 de 65 empleos",2/26/21,Peru,Accounting,Indeed,65
297,"
                    Página 1 de 286 empleos",2/26/21,Mexico,Accounting,Indeed,286
298,"
                    第 1 頁、共 143 個職缺",2/26/21,Taiwan,Accounting,Indeed,143
299,"
                    Страница 1 из 44 вакансий",2/26/21,Russia,Accounting,Indeed,44
300,"
                    求人検索結果 4,700 件中 1 ページ目",2/26/21,Japan,Accounting,Indeed,4700
301,"
                    Page 1 of 24 jobs",2/27/21,Pakistan,Accounting,Indeed,24
302,"
                    Page 1 of 27 jobs",2/27/21,Nigeria,Accounting,Indeed,27
303,"
                    Page 1 of 59 jobs",2/27/21,Ireland,Accounting,Indeed,59
304,"
                    Page 1 of 85 jobs",2/27/21,Malaysia,Accounting,Indeed,85
305,"
                    Page 1 of 96 jobs",2/27/21,Australia,Accounting,Indeed,96
306,"
                    Page 1 of 124 jobs",2/27/21,Hong Kong,Accounting,Indeed,124
307,"
                    Page 1 of 165 jobs",2/27/21,Singapore,Accounting,Indeed,165
308,"
                    Page 1 of 166 jobs",2/27/21,South Africa,Accounting,Indeed,166
309,"
                    Page 1 of 176 jobs",2/27/21,Philippines,Accounting,Indeed,176
310,"
                    Page 1 of 281 jobs",2/27/21,India,Accounting,Indeed,281
311,"
                    Page 1 of 443 jobs",2/27/21,Canada,Accounting,Indeed,443
312,"
                    Page 1 of 534 jobs",2/27/21,United Kingdom,Accounting,Indeed,534
313,"
                    Seite 1 von 33 Jobs",2/27/21,Austria,Accounting,Indeed,33
314,"
                    Página 1 de 569 vagas",2/27/21,Brazil,Accounting,Indeed,569
315,"
                    Página 1 de 28 ofertas",2/27/21,Portugal,Accounting,Indeed,28
316,"
                    Página 1 de 39 empleos",2/27/21,Chile,Accounting,Indeed,39
317,"
                    Pagina 1 van 79 vacatures",2/27/21,Belgium,Accounting,Indeed,79
318,"
                    Halaman 1 dari 111 lowongan",2/27/21,Indonesia,Accounting,Indeed,111
319,"
                    Página 1 de 30 empleos",2/27/21,Spain,Accounting,Indeed,30
320,"
                    Страница 1 из 33 вакансий",2/27/21,Russia,Accounting,Indeed,33
321,"
                    Página 1 de 36 empleos",2/27/21,Columbia,Accounting,Indeed,36
322,"
                    Seite 1 von 45 Jobs",2/27/21,Switzerland,Accounting,Indeed,45
323,"
                    第 1 頁、共 53 個職缺",2/27/21,Taiwan,Accounting,Indeed,53
324,"
                    Página 1 de 76 empleos",2/27/21,Peru,Accounting,Indeed,76
325,"
                    Pagina 1 di 77 offerte",2/27/21,Italy,Accounting,Indeed,77
326,"
                    80个工作，第1页",2/27/21,China,Accounting,Indeed,80
327,"
                    Página 1 de 296 empleos",2/27/21,Mexico,Accounting,Indeed,296
328,"
                    Page 1 de 397 emplois",2/27/21,France,Accounting,Indeed,397
329,"
                    求人検索結果 2,799 件中 1 ページ目",2/27/21,Japan,Accounting,Indeed,2799
330,0,2/26/21,India,Accounting,Indeed,0
331,0,2/26/21,Austria,Accounting,Indeed,0
332,0,2/26/21,Germany,Accounting,Indeed,0
333,0,2/26/21,Belgium,Accounting,Indeed,0
334,0,2/26/21,Portugal,Accounting,Indeed,0
335,0,2/26/21,Denmark,Accounting,Indeed,0
336,0,2/26/21,Norway,Accounting,Indeed,0
337,0,2/26/21,Sweden,Accounting,Indeed,0
338,0,2/27/21,Kuwait,Accounting,Indeed,0
339,0,2/27/21,Denmark,Accounting,Indeed,0
340,0,2/27/21,Norway,Accounting,Indeed,0
341,0,2/27/21,Sweden,Accounting,Indeed,0
342,"
                    Seite 1 von 1.271 Jobs",2/25/21,Germany,Accounting,Indeed,1
343,"
                    1페이지 결과 8건",2/26/21,Korea,Accounting,Indeed,1
344,"
                    Página 1 de 1 empleos",2/26/21,Venezuela,Accounting,Indeed,1
345,"
                    1. stránka z 2 výsledků",2/26/21,Czech Republic,Accounting,Indeed,1
346,"
                    صفحة 1 من 1 وظائف",2/26/21,Egypt,Accounting,Indeed,1
347,"
                    Seite 1 von 1.006 Jobs",2/27/21,Germany,Accounting,Indeed,1
348,"
                    1페이지 결과 3건",2/27/21,Korea,Accounting,Indeed,1
349,"
                    Página 1 de 1 empleos",2/27/21,Venezuela,Accounting,Indeed,1
350,"
                    1. stránka z 2 výsledků",2/27/21,Czech Republic,Accounting,Indeed,1
351,"
                    Pagina 1 din 3 de locuri de muncă",2/26/21,Romania,Accounting,Indeed,3
352,"
                    Página 1 de 3 empleos",2/27/21,Costa Rica,Accounting,Indeed,3
353,"
                    Página 1 de 3 empleos",2/27/21,Uruguay,Accounting,Indeed,3
354,"
                    Pagina 1 din 3 de locuri de muncă",2/27/21,Romania,Accounting,Indeed,3
355,"
                    Page 1 de 4 emplois",2/26/21,Morocco,Accounting,Indeed,4
356,"
                    Page 1 de 4 emplois",2/27/21,Morocco,Accounting,Indeed,4
357,"
                    Page 1 of 5 jobs",2/25/21,Kuwait,Accounting,Indeed,5
358,"
                    Σελίδα 1 από 5 θέσεις εργασίας",2/27/21,Greece,Accounting,Indeed,5
359,"
                    Page 1 of 6 jobs",2/26/21,Kuwait,Accounting,Indeed,6
360,"
                    Página 1 de 6 empleos",2/26/21,Uruguay,Accounting,Indeed,6
361,"
                    صفحة 1 من 6 وظائف",2/27/21,Egypt,Accounting,Indeed,6
362,"
                    Página 1 de 7 empleos",2/26/21,Costa Rica,Accounting,Indeed,7
363,"
                    หน้า 1 ของ 7 งาน",2/26/21,Thailand,Accounting,Indeed,7
364,"
                    صفحة 1 من 11 وظائف",2/25/21,Saudi Arabia,Accounting,Indeed,11
365,"
                    Page 1 de 11 emplois",2/27/21,Luxembourg,Accounting,Indeed,11
366,"
                    Sivu 1 / 11 työpaikkaa",2/27/21,Finland,Accounting,Indeed,11
367,"
                    Σελίδα 1 από 12 θέσεις εργασίας",2/26/21,Greece,Accounting,Indeed,12
368,"
                    Página 1 de 12 empleos",2/27/21,Ecuador,Accounting,Indeed,12
369,"
                    صفحة 1 من 13 وظائف",2/27/21,Saudi Arabia,Accounting,Indeed,13
370,"
                    15 munka 1 oldala",2/27/21,Hungary,Accounting,Indeed,15
371,"
                    Sivu 1 / 17 työpaikkaa",2/26/21,Finland,Accounting,Indeed,17
